Switch#show mac address-table 
        Mac Address Table (Total 498)
------------------------------------------

Vlan    Mac Address       Type       Ports
700     0c41.e9ad.e413    DYNAMIC    gpon0/6:34-1
700     dc99.1471.c642    DYNAMIC    gpon0/8:16-1
700     7cd9.a0b6.8616    DYNAMIC    gpon0/1:18-1
700     ec4d.4720.83ac    DYNAMIC    gpon0/5:8-1
700     60fa.9d09.66ca    DYNAMIC    gpon0/4:40-1
700     cc64.a60e.a75e    DYNAMIC    gpon0/1:65-1
700     8069.33cb.6b37    DYNAMIC    gpon0/9:21-1
700     c88d.84b4.15e4    DYNAMIC    gpon0/2:30-1
700     80b5.7523.ccb5    DYNAMIC    gpon0/5:31-1
700     e43e.c603.1ceb    DYNAMIC    gpon0/6:45-1
700     3458.4092.b3a5    DYNAMIC    gpon0/3:49-1
700     44a3.c725.d18e    DYNAMIC    gpon0/12:42-1
700     340a.98a9.e765    DYNAMIC    gpon0/8:33-1
700     b443.2660.a459    DYNAMIC    gpon0/3:21-1
700     f86e.eede.1a57    DYNAMIC    gpon0/3:47-1
700     788c.b556.910f    DYNAMIC    gpon0/6:39-1
700     70c7.f341.ff1b    DYNAMIC    gpon0/2:27-1
700     38bc.0104.cb5b    DYNAMIC    gpon0/3:57-1
700     2841.c7a1.cf4f    DYNAMIC    gpon0/5:36-1
700     cc20.8cc6.7c52    DYNAMIC    gpon0/9:53-1
700     74e9.bfdd.2671    DYNAMIC    gpon0/8:30-1
1       74fe.cef4.99dd    DYNAMIC    gpon0/3:59-1
1       74fe.cef4.99db    DYNAMIC    gpon0/3:59-1
1       74fe.cef4.99da    DYNAMIC    gpon0/3:59-1
700     a8d4.e0be.1766    DYNAMIC    gpon0/1:104-1
700     20ab.4822.2211    DYNAMIC    gpon0/5:33-1
700     0055.b16f.e66f    DYNAMIC    gpon0/1:16-1
700     4cd0.cbc9.23ef    DYNAMIC    gpon0/6:15-1
1       40ae.30c5.691d    DYNAMIC    gpon0/12:44-1
1       40ae.30c5.691a    DYNAMIC    gpon0/12:44-1
