PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/2,65,HWTCDAD2DCB1,ptello2,EG8021V5,BRIDGE
0/1/2,66,ZTEGD6D13CAA,olrengifo,F670LV9.0,ROUTER
0/1/2,67,HWTC87E95FB4,yjolmedo,EG8021V5,BRIDGE
0/1/2,68,ZTEGD6D13D47,bdvguardia,F670LV9.0,ROUTER
0/1/2,69,HWTCDAC471B1,anbenitez,EG8021V5,BRIDGE
0/1/2,70,HWTC87E8CFB4,mmartinez,EG8021V5,BRIDGE
0/1/2,71,ZTEGD6D1426E,gyflores,F670LV9.0,ROUTER
0/1/2,72,HWTCD38CA69F,itlescano,EG8141A5,ROUTER
0/1/2,73,HWTC38B1B69D,vrgonzalez,EG8141A5,ROUTER
0/1/3,1,HWTC82135A92,sgravaglia,IC410WSG,ROUTER
0/1/3,2,HWTC340B11A6,maderera,EG8141A5,ROUTER
0/1/3,4,HWTC827F9292,ascherer,IC410WSG,ROUTER
0/1/3,7,HWTC26BF301E,jfcalderon,IC405WSG,ROUTER
0/1/3,8,HWTC174C2F9B,jdamilano,IC405WSG,ROUTER
0/1/3,10,HWTC82425292,aortiz,IC410WSG,ROUTER
0/1/3,13,HWTCA361149C,enovillo,EG8141A5,ROUTER
0/1/3,14,HWTCB845BF9D,gromero5,EG8141A5,ROUTER
0/1/3,15,TPLG8BDDE0D5,mlcordoba,TX-6610,BRIDGE
0/1/3,16,HWTC26BE5F1E,cabraham,IC405WSG,ROUTER
0/1/3,17,HWTC8210C792,jmlanfranconi,IC410WSG,ROUTER
0/1/3,18,HWTC340B47A6,sdomesi,EG8141A5,ROUTER
0/1/3,19,HWTC2655E71E,pecontreras,IC405WSG,ROUTER
0/1/3,20,HWTC0432891E,repfister,IC455WDB,ROUTER
0/1/3,21,HWTC82B20092,pligorria,IC410WSG,ROUTER
0/1/3,22,HWTC19600D9B,vferreira,EG8141A5,ROUTER
0/1/3,24,HWTC19590E9B,omoreno,EG8141A5,ROUTER
0/1/3,25,HWTC826D8392,poviedo2,IC410WSG,ROUTER
0/1/3,26,HWTC52C13FB4,jaltamirano2,EG8141A5,ROUTER
0/1/3,27,HWTC45948C9F,jdortiz,EG8141A5,ROUTER
0/1/3,28,HWTC268D591E,evcastedo,IC405WSG,ROUTER
