PON_DESTINO,ZTE_ONU_ID,SN,PPPoE_USER,ONT_MODEL,ONT_MODE
0/1/6,28,HWTC05939592,cfernandez,HG8546M,ROUTER
0/1/14,8,HWTC28CA919F,aavena,EG8141A5,ROUTER
0/1/15,19,HWTC065ECBA6,mberezoski,EG8141A5,ROUTER
0/1/6,7,HWTC82ADB692,mdcoronel,IC410WSG,ROUTER
0/1/10,8,HWTC26895D1E,ajbarrionuevo,IC405WSG,ROUTER
0/1/13,20,TPLGE715F320,ajolmedo,XC220-G3v,ROUTER
0/1/9,14,HWTC26014F1E,ccminguillon,IC405WSG,ROUTER
0/1/15,20,HWTCFD28489E,jcichello,HS8545M5,ROUTER
0/1/15,4,HWTC261CE91E,vbazan1,IC405WSG,ROUTER
0/1/6,23,TPLGB5565FD8,magonzalez1,XN020-G3,ROUTER
0/1/12,20,HWTC17688F9B,jmoviedo2,IC405WSG,ROUTER
0/1/6,40,HWTCB332429A,ltruszkowski,EG8141A5,ROUTER
0/1/13,18,TPLGB5568030,ahvillca,XN020-G3,ROUTER
0/1/14,2,HWTC26DA6A1E,igescudero,IC405WSG,ROUTER
0/1/15,7,HWTC87F279B4,niquiroga,EG8021V5,BRIDGE
0/1/10,26,TPLG84DB68C8,fdpatuzzi,XC220-G3,ROUTER
0/1/9,18,HWTC26038D1E,fdalmara,IC405WSG,ROUTER
0/1/12,13,HWTC174ABF9B,rvcordoba,IC405WSG,ROUTER
0/1/14,21,HWTC1085FAAB,smolina3,HG8245H5,ROUTER
0/1/14,13,HWTCDAC756B1,ysmontoya,EG8021V5,BRIDGE
0/1/6,19,HWTCE241639D,lmdiaz,EG8141A5,ROUTER
0/1/13,1,HWTCA3A83FB1,mezapata1,EG8021V5,BRIDGE
0/1/15,27,HWTC2627171E,gsiciliano,IC405WSG,ROUTER
0/1/6,31,ZTEGD6D13E93,mgaray5,F670LV9.0,ROUTER
0/1/9,36,HWTC16C8BF9B,eaespindola,IC405WSG,ROUTER
0/1/14,5,HWTC87F281B4,dmvillegas1,EG8021V5,BRIDGE
0/1/10,24,HWTC91733BA6,edbracamonte,EG8141A5,ROUTER
0/1/9,27,HWTCB87CF39D,rhbarrionuevo,EG8141A5,ROUTER
